Entreprise,Entreprise_Normalisee,Score_Max,Tier,Commune,Nb_Agents,Agents,Tel_Societe,Email_Societe,Tel_Societe_All,Email_Societe_All,Tel_Agents_IPI,Email_Agents_IPI,Tel_Agents_Existants,Email_Agents_Existants,Site_Web,Google_Business,Google_Note,Google_Nb_Avis,Services,Gestion_Locative,Syndic,Vente,Location,Commercial,Logiciel_Actuel,Immoweb_Annonces_Total,Immoweb_Location,Immoweb_Vente,Portfolio_Estime,BCE_Numero,BCE_Forme_Juridique,BCE_Date_Creation,Pain_Points,Angle_SPIN
DEWAELE,DEWAELE,70,A,Strombeek-Bever,2,Kurt Vermandel | Lynn Cooreman,,,,,+3222676075,kurt.vermandel@dewaele.com | lynn.cooreman@dewaele.com,,kurt.vermandel@dewaele.com | lynn.cooreman@dewaele.com,https://www.dewaele.com,https://www.google.com/maps/search/DEWAELE%20Strombeek-Bever,,,"Gestion locative, Syndic, Vente, Location",Oui,Oui,Oui,Oui,Non,,,,,,,,,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
A & P Team,A ET P TEAM,68,B,Bruxelles,2,Christophe De Stoop | Siebe Goovaerts,,info@multimmo.be,,info@multimmo.be,+3228977000 | +32475968909,christophe@multimmo.be | anja.goossens@apteam.be,+32475968909,christophe@multimmo.be | anja.goossens@apteam.be,https://www.multimmo.be/fr/,https://www.google.com/maps/search/A%20%26%20P%20Team%20Bruxelles,,,"Gestion locative, Syndic, Vente, Location, Commercial",Oui,Oui,Oui,Oui,Oui,omnicasa,,,,,,,,,omnicasa couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
R.B.K IMMO,RBK IMMO,68,B,Ixelles,2,Redouan Ben Kaddour | Florian Vandecaveye,,info@trevi.be,,info@trevi.be,+32472045117,rbenkaddour@trevi.be,+32472045117,rbenkaddour@trevi.be,https://www.trevi.be/fr/,https://www.google.com/maps/search/R.B.K%20IMMO%20Ixelles,,,"Gestion locative, Syndic, Vente, Location",Oui,Oui,Oui,Oui,Non,whise; bricks,,,,,,,,,whise couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
Grand Place,GRAND PLACE,68,B,Woluwe-Saint-Pierre,2,Odile Seutin | Arnaud de Poix,+3227660946,info@grandplace.be,+3227660946 | +3222702629 | +32473033168 | +32495862775,info@grandplace.be | rix@grandplace.be | ninfo@grandplace.be | jvdegeeter@grandplace.be | oseutin@grandplace.be,+3227660946,degeeter@grandplace.be | depoix@grandplace.be,,degeeter@grandplace.be | depoix@grandplace.be,https://www.grandplace.be/fr/,https://www.google.com/maps/search/Grand%20Place%20Woluwe-Saint-Pierre,,,"Gestion locative, Syndic, Vente, Location, Commercial",Oui,Oui,Oui,Oui,Oui,omnicasa,,,,,,,,,omnicasa couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
We Invest,WE INVEST,68,B,Ixelles,7,Hélène Degouis | Nathalie Plasman | Alexander Van Schandevyl | Sarah Lecomte | Alexia Ignelzi | Grégory Luciani | anastasia seider,+32451067032,dupont@example.com,+32451067032,dupont@example.com | info@ipi.be | demervallei@weinvest.be | overijse@weinvest.be | brugge@weinvest.be | heist.op.den.berg@weinvest.be | centre.hainaut@weinvest.be | antwerpen.zuidrand@weinvest.be | haute.senne@weinvest.be | bw.centre@weinvest.be | bruxelles.sud@weinvest.be | ourthe.ambleve@weinvest.be | leopoldsburg@weinvest.be | meise@weinvest.be | malmedy@weinvest.be | bruxelles.ouest@weinvest.be | mons@weinvest.be | tournai@weinvest.be | bruxelles.est@weinvest.be | liege@weinvest.be,+3223157722 | +3223186260 | +3223186266,nathalie.plasman@weinvest.be | alexander.vs@weinvest.be | jonathan@weinvest.be | brussels@weinvest.be,+3223186260 | +3223186266 | +3222172291,helene.degouis@weinvest.be | nathalie.plasman@weinvest.be | alexander.vs@weinvest.be | jonathan@weinvest.be | brussels@weinvest.be,https://www.weinvest.be,https://www.google.com/maps/search/We%20Invest%20Ixelles,,,"Gestion locative, Vente, Location, Commercial",Oui,Non,Oui,Oui,Oui,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Immobilière Georges,IMMOBILIRE GEORGES,68,B,Forest,2,Jennifer Lescot | Benjamin Georges,+3223434695,info@immobilieregeorges.be,+3223434695 | +32493824426,info@immobilieregeorges.be | edgar@immobilieregeorges.be | nedgar@immobilieregeorges.be,+3223434695,info@immobilieregeorges.be | bgeorgesimmo@gmail.com,,info@immobilieregeorges.be | bgeorgesimmo@gmail.com,https://www.immobilieregeorges.be,https://www.google.com/maps/search/Immobili%C3%A8re%20Georges%20Forest,,,"Gestion locative, Syndic, Vente, Location, Commercial",Oui,Oui,Oui,Oui,Oui,hubspot; salesforce,,,,,,,,,hubspot couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
IMMOBILIERE GEORGES,IMMOBILIERE GEORGES,68,B,Forest,2,Maïa Husain | Edgar Reynaud,+3223434695,info@immobilieregeorges.be,+3223434695 | +32493824426,info@immobilieregeorges.be | edgar@immobilieregeorges.be | nedgar@immobilieregeorges.be,+3223434695,info@immobilieregeorges.be,+3223434695,info@immobilieregeorges.be,https://www.immobilieregeorges.be,https://www.google.com/maps/search/IMMOBILIERE%20GEORGES%20Forest,,,"Gestion locative, Syndic, Vente, Location, Commercial",Oui,Oui,Oui,Oui,Oui,hubspot; salesforce,,,,,,,,,hubspot couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
Renaissance Properties,RENAISSANCE PROPERTIES,68,B,Woluwe-Saint-Lambert,2,Aymeric Stévenart | Laurent-Joseph Coomans de Brachène,+3227331463,info@renaissanceproperties.be,+3227331463 | +3227338863,info@renaissanceproperties.be,,,,info@renaissanceproperties.be,https://www.renaissanceproperties.be,https://www.google.com/maps/search/Renaissance%20Properties%20Woluwe-Saint-Lambert,,,"Vente, Location",Non,Non,Oui,Oui,Non,immoweb,,,,,,,,,immoweb couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
EV MMC Belgium SRL,EV MMC BELGIUM,68,B,Uccle,7,Nicolas Dockx | Marick Schippers | Valentine Cambron | Romain De Pascale | Simon Heilporn | Jérémie Lots | Jimmy Van Snick,+3228804021,contact@engelvoelkers.com,+3228804021 | +32489238996 | +3253209466 | +3249136722 | +3283319657,contact@engelvoelkers.com | belgium@engelvoelkers.com | schweiz@engelvoelkers.com | andorra.dpd@engelvoelkers.com | paris@engelvoelkers.com | luxembourg@engelvoelkers.com,+3228804021 | +32472619998,cydrinn.schippers@engelvoelkers.com | marick.schippers@engelvoelkers.com,+32472619998,cydrinn.schippers@engelvoelkers.com | marick.schippers@engelvoelkers.com,https://www.engelvoelkers.com/be/fr,https://www.google.com/maps/search/EV%20MMC%20Belgium%20SRL%20Uccle,,,"Gestion locative, Vente, Location, Commercial",Oui,Non,Oui,Oui,Oui,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
L'immobilière du Lycée Français,LIMMOBILIRE DU LYCE FRANAIS,68,B,Uccle,2,Olivier De Muynck | Simon De Muynck,+32488333447,info@immodlf.be,+32488333447 | +3248833344 | +3228508901 | +3285476286,info@immodlf.be,+3228508901,olivier@immodlf.be,,olivier@immodlf.be,https://www.immodlf.be/fr/,https://www.google.com/maps/search/L'immobili%C3%A8re%20du%20Lyc%C3%A9e%20Fran%C3%A7ais%20Uccle,,,"Gestion locative, Syndic, Vente, Location, Commercial",Oui,Oui,Oui,Oui,Oui,omnicasa; immoweb,,,,,,,,,omnicasa couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
Skyline Renting Services,SKYLINE RENTING SERVICES,68,B,Auderghem,3,Marie Engels | Florence Bonnave | Joëlle Chareuntakul,+3233693123,info@skylinerenting.eu,+3233693123,info@skylinerenting.eu,+3226790006 | +32472703037,jc@skylinerenting.eu | flo_bonnave@hotmail.com,+32483581122,jc@skylinerenting.eu | flo_bonnave@hotmail.com,https://skylinerenting.eu/,https://www.google.com/maps/search/Skyline%20Renting%20Services%20Auderghem,,,Location,Non,Non,Non,Oui,Non,immoweb,,,,,,,,,immoweb couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
Phicap,PHICAP,68,B,Watermael-Boitsfort,1,Michaël Goldberg,+3225350920,info@phicap.eu,+3225350920,info@phicap.eu,,,,info@phicap.eu,https://www.phicap.eu,https://www.google.com/maps/search/Phicap%20Watermael-Boitsfort,,,"Gestion locative, Location, Commercial",Oui,Non,Non,Oui,Oui,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Bureau Immobilier Meert,BUREAU IMMOBILIER MEERT,68,B,Woluwe-Saint-Lambert,2,Sébastien Meert | Jérémy Smets,+3247689343,info@meert-realty.com,+3247689343 | +3227632698 | +3247766176 | +3225053850,info@meert-realty.com | sebastien@meert-realty.com | jeremy@meert-realty.com | info@ipi.be,,,+3227632698,info@meert-realty.com,https://www.meert-realty.com,https://www.google.com/maps/search/Bureau%20Immobilier%20Meert%20Woluwe-Saint-Lambert,,,"Gestion locative, Syndic, Vente, Location, Commercial",Oui,Oui,Oui,Oui,Oui,whise,,,,,,,,,whise couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
Stolzimmo SRL,STOLZIMMO,68,B,Woluwe-Saint-Pierre,2,Sabine Stolz | Adrien Cordier,,,,,+3227620606,info@sabimmo.eu,,info@sabimmo.eu,https://www.sabimmo.eu,https://www.google.com/maps/search/Stolzimmo%20SRL%20Woluwe-Saint-Pierre,,,"Gestion locative, Syndic, Vente, Location, Commercial",Oui,Oui,Oui,Oui,Oui,zimmo,,,,,,,,,zimmo couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
Baltimo,BALTIMO,67,B,Saint-Gilles,1,Isabella Balaratti,,,,,+3223465939,isabelle.balaratti@baltimo.be,,isabelle.balaratti@baltimo.be,https://www.baltimo.be,https://www.google.com/maps/search/Baltimo%20Saint-Gilles,2.1,7,,Non,Non,Non,Non,Non,,5,3,2,100,0870.912.124,SRL,2007-01-01,peu réactif; difficile à joindre; engagements non tenus; pas de réduction des coûts,Vos clients mentionnent peu réactif — comment gerez-vous le suivi des demandes aujourd'hui ?
SYNDIC GORGUN,SYNDIC GORGUN,67,B,Saint-Josse-ten-Noode,1,Yavuz Görgün,+3222591677,info@syndicgorgun.be,+3222591677 | +3227065979,info@syndicgorgun.be,,,+3222591677,info@syndicgorgun.be,https://www.syndicgorgun.be,https://www.google.com/maps/search/SYNDIC%20GORGUN%20Saint-Josse-ten-Noode,,,Syndic,Non,Oui,Non,Non,Non,,,,,,,,,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
TERANGA SYNDIC,TERANGA SYNDIC,67,B,Forest,1,Shanky Rupchandani,,info@teranga-syndic.be,,info@teranga-syndic.be | rs@teranga-syndic.be | cg@teranga-syndic.be,+3225803004,rs@teranga-syndic.be,,rs@teranga-syndic.be,https://teranga-syndic.be/,https://www.google.com/maps/search/TERANGA%20SYNDIC%20Forest,4,5,"Syndic, Commercial",Non,Oui,Non,Non,Oui,,,,,15,,SRL,2018-01-01,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
Engel & Voelkers,ENGEL ET VOELKERS,67,B,Ixelles,1,Julie-Anne Renwart,,,,,,julie-anne.renwart@engelvoelkers.com,,julie-anne.renwart@engelvoelkers.com,,https://www.google.com/maps/search/Engel%20%26%20Voelkers%20Ixelles,4.3,25,,Non,Non,Non,Non,Non,,80,30,50,150,,Franchise,2005-01-01,communication variable selon agent,Vos clients mentionnent communication variable selon agent — comment gerez-vous le suivi des demandes aujourd'hui ?
Regimo - Parte Group BV,REGIMO PARTE GROUP,67,B,Schaerbeek,1,Marie Moos,,,,,+3227362076,regimo@regimo.com,+3227362076,regimo@regimo.com,,https://www.google.com/maps/search/Regimo%20-%20Parte%20Group%20BV%20Schaerbeek,2.8,58,,Non,Non,Non,Non,Non,,5,3,2,83,0876.247.322,SRL,2007-01-01,communication; AG mal organisées; problèmes maintenance; réactivité,Vos clients mentionnent communication — comment gerez-vous le suivi des demandes aujourd'hui ?
Sycoplus sprl,SYCOPLUS,67,B,Schaerbeek,1,Grégory Moerman,+3247160606,info@sycoplus.be,+3247160606,info@sycoplus.be | 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,,,,gregory.moerman@sycoplus.be,https://www.sycoplus.be,https://www.google.com/maps/search/Sycoplus%20sprl%20Schaerbeek,,,"Syndic, Location",Non,Oui,Non,Oui,Non,,,,,,,,,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
1000 MILLIEMES,1000 MILLIEMES,67,B,Schaerbeek,1,Martin Huberty,+3226161000,info@1000milliemes.be,+3226161000,info@1000milliemes.be,+3223150380,info@1000milliemes.be,,info@1000milliemes.be,https://www.1000milliemes.be,https://www.google.com/maps/search/1000%20MILLIEMES%20Schaerbeek,,,Syndic,Non,Oui,Non,Non,Non,,,,,,,,,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
BATHIM & Co,BATHIM ET CO,67,B,Woluwe-Saint-Lambert,4,Jérôme Devigné-Rongé | Aurore De Winter | Sébastien Jacobs | Pierre-Louis Petitier,,,,,+3227330000,info@bathim.be,,jd@bathim.be | info@bathim.be,https://www.bathim.be,https://www.google.com/maps/search/BATHIM%20%26%20Co%20Woluwe-Saint-Lambert,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Nouveaux Etablissements Delchevalerie Immobilier,NOUVEAUX ETABLISSEMENTS DELCHEVALERIE IMMOBILIER,67,B,Berchem-Sainte-Agathe,1,Roger Henry,,,,,+3224255610,info@delchevalerie-syndic.be,,info@delchevalerie-syndic.be,,https://www.google.com/maps/search/Nouveaux%20Etablissements%20Delchevalerie%20Immobilier%20Berchem-Sainte-Agathe,2.5,15,,Non,Non,Non,Non,Non,,5,3,2,60,0891.204.623,SRL,2007-07-20,prend l'argent de tous côtés; problèmes résolus uniquement après changement de syndic,Vos clients mentionnent prend l'argent de tous côtés — comment gerez-vous le suivi des demandes aujourd'hui ?
Optimmo-Invest,OPTIMMOINVEST,67,B,Berchem-Sainte-Agathe,1,Maryem Saddoud,,,,,+32475883762,m.saddoud@hotmail.com,+32475883762,m.saddoud@hotmail.com,https://www.optimmo-invest.be,https://www.google.com/maps/search/Optimmo-Invest%20Berchem-Sainte-Agathe,3.2,25,,Non,Non,Non,Non,Non,,10,5,5,80,0842.066.403,SRL,2011-12-23,tarification,Vos clients mentionnent tarification — comment gerez-vous le suivi des demandes aujourd'hui ?
synergimm,SYNERGIMM,67,B,Uccle,1,François-Xavier Fieschi,+32472816613,syndic@synergimm.be,+32472816613,syndic@synergimm.be,,,,syndic@synergimm.be,https://www.synergimm.be,https://www.google.com/maps/search/synergimm%20Uccle,,,"Syndic, Vente, Location, Commercial",Non,Oui,Oui,Oui,Oui,,,,,,,,,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
Facilinvest,FACILINVEST,67,B,Evere,1,Johan Sturbois,,,,,+3225117100,info@facilinvest.be,,info@facilinvest.be,,https://www.google.com/maps/search/Facilinvest%20Evere,3.5,18,,Non,Non,Non,Non,Non,,,,,98,0833.369.956,SRL,2011-02-02,interphones non fonctionnels; travaux retardés; communication insuffisante,Vos clients mentionnent interphones non fonctionnels — comment gerez-vous le suivi des demandes aujourd'hui ?
WSB-syndic,WSBSYNDIC,67,B,Ninove,1,Kelly Hendrix,+3222653346,syndicus@wsb-group.be,+3222653346 | +3226693349,syndicus@wsb-group.be,+3222653346,kelly@wsb-syndic.be,,Kelly@wsb-syndic.be,https://www.wsb-syndic.be,https://www.google.com/maps/search/WSB-syndic%20Ninove,,,Syndic,Non,Oui,Non,Non,Non,,,,,,,,,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
L&S IMMOTECH srl,LETS IMMOTECH,67,B,Wemmel,1,Laurance Lemaire,+3225823806,info@lsimmotech.be,+3225823806 | +32494136784 | +32484361728,info@lsimmotech.be,+3225823806,info@immolemaire.be,+3225823806,info@immolemaire.be,https://www.lsimmotech.be,https://www.google.com/maps/search/L%26S%20IMMOTECH%20srl%20Wemmel,,,"Syndic, Location",Non,Oui,Non,Oui,Non,,,,,,,,,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
W ESTATE,W ESTATE,65,B,Bruxelles,1,Jean-Michel Wathelet,+3248778770,jm@westate.be,+3248778770,jm@westate.be,+32487787708,info@westate.be,,info@westate.be,https://www.westate.be,https://www.google.com/maps/search/W%20ESTATE%20Bruxelles,,,Vente,Non,Non,Oui,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Cereal BV,CEREAL,65,B,Bruxelles,1,Arne Hermans,+3292777920,hello@diggitstudentlife.eu,+3292777920,hello@diggitstudentlife.eu,+3292777920,arne@diggitstudentlife.eu,,arne@diggitstudentlife.eu,https://www.diggitstudentlife.eu,https://www.google.com/maps/search/Cereal%20BV%20Bruxelles,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Dewaele real estate Brussels (formerly NOA),DEWAELE REAL ESTATE BRUSSELS FORMERLY NOA,65,B,Bruxelles,1,Kristien Viaene,,,,,+3223444422,brussels@dewaele.com,,brussels@dewaele.com,https://www.dewaele.com,https://www.google.com/maps/search/Dewaele%20real%20estate%20Brussels%20(formerly%20NOA)%20Bruxelles,,,"Gestion locative, Syndic, Vente, Location",Oui,Oui,Oui,Oui,Non,,,,,,,,,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
Ceusters,CEUSTERS,65,B,Bruxelles,1,Stefan Wattez,+3232318876,support.web@dynamate.be,+3232318876 | +3225110560 | +3292333645 | +3221913059,support.web@dynamate.be | info@ceusters.be,+3225110560,stefan.wattez@ceusters.be,+3225110560,stefan.wattez@ceusters.be,https://www.ceusters.be,https://www.google.com/maps/search/Ceusters%20Bruxelles,,,"Gestion locative, Syndic, Location, Commercial",Oui,Oui,Non,Oui,Oui,,,,,,,,,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
Fidentia Real Estate Investment,FIDENTIA REAL ESTATE INVESTMENT,65,B,Bruxelles,1,Louis de Halleux,,fidentia@fidentia.lu,,fidentia@fidentia.lu,+3227902580,louis.dehalleux@fidentia.be,,louis.dehalleux@fidentia.be,https://www.fidentia.be,https://www.google.com/maps/search/Fidentia%20Real%20Estate%20Investment%20Bruxelles,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
TNG INVEST,TNG INVEST,65,B,Ixelles,1,Fatoumata Telemans,+3228956080,info@tnginvest.com,+3228956080,info@tnginvest.com,+3228956080,info@tnginvest.com,,info@tnginvest.com,https://www.tnginvest.com,https://www.google.com/maps/search/TNG%20INVEST%20Ixelles,,,Location,Non,Non,Non,Oui,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Atlas Real Estate Agency,ATLAS REAL ESTATE AGENCY,65,B,Ixelles,1,Zineb Ben Salah,+32473464097,info@atlasrealestate.be,+32473464097,info@atlasrealestate.be,+3227342454,info@atlasrealestate.be,,info@atlasrealestate.be,https://www.atlasrealestate.be,https://www.google.com/maps/search/Atlas%20Real%20Estate%20Agency%20Ixelles,,,"Vente, Location, Commercial",Non,Non,Oui,Oui,Oui,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Rêvimmo,RVIMMO,65,B,Ixelles,1,Maeva D'Agata,+3235957071,home-revimmo@c1730x550.jpg,+3235957071 | +3262574068,home-revimmo@c1730x550.jpg | miv-2829@c400x525.jpg | miv-2829@c320x420.webp | miv-4395-rev-web@c400x525.jpg | miv-4395-rev-web@c320x420.webp | miv-3036@c400x525.jpg | miv-3036@c320x420.webp | miv-01415@c400x525.jpg | miv-01415@c320x420.webp | miv-0741-crop-site@c400x525.jpg | miv-0741-crop-site@c320x420.webp | miv-3060-rev-web@c400x525.jpg | miv-3060-rev-web@c320x420.webp | miv-4908-rev-web@c400x525.jpg | miv-4908-rev-web@c320x420.webp | miv-0879-ok@c400x525.jpg | miv-0879-ok@c320x420.webp | miv-6785@c400x525.jpg | miv-6785@c320x420.webp | miv-4092-rev-web@c400x525.jpg,,,,gc@revimmo.be,https://revimmo.be,https://www.google.com/maps/search/R%C3%AAvimmo%20Ixelles,,,"Gestion locative, Syndic, Vente, Location, Commercial",Oui,Oui,Oui,Oui,Oui,,,,,,,,,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
Alexandre VARDAKIS,ALEXANDRE VARDAKIS,65,B,Genval,1,Alexandre Vardakis,+3226535353,immo@acginvest.be,+3226535353,immo@acginvest.be,+3226535353,immo@acginvest.be,,immo@acginvest.be,https://www.acginvest.eu,https://www.google.com/maps/search/Alexandre%20VARDAKIS%20Genval,,,"Vente, Location, Commercial",Non,Non,Oui,Oui,Oui,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Bricx Vastgoed,BRICX VASTGOED,65,B,Brugge,1,Philippe De Backer,+3251914656,info@bricx.be,+3251914656 | +3286530460 | +3250816767,info@bricx.be | kortrijk@bricx.be | roeselare@bricx.be,+3250816767,philippe@bricx.be,,philippe@bricx.be,https://www.bricx.be,https://www.google.com/maps/search/Bricx%20Vastgoed%20Brugge,,,Vente,Non,Non,Oui,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Immo Greenwich,IMMO GREENWICH,65,B,Ixelles,1,Jenny Fastenaekels,+3223450378,info@immo-greenwich.be,+3223450378,info@immo-greenwich.be,+3223450378,jenny.f@immo-greenwich.be,,jenny.f@immo-greenwich.be,https://www.immo-greenwich.be,https://www.google.com/maps/search/Immo%20Greenwich%20Ixelles,,,"Gestion locative, Syndic, Vente, Location",Oui,Oui,Oui,Oui,Non,,,,,,,,,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
VLABO,VLABO,65,B,Anderlecht,1,Paul Van Butsele,+3247252038,info@immo-free.be,+3247252038,info@immo-free.be,+32473790467,paul@vlabonv.be,,paul@vlabonv.be,https://www.immo-free.be,https://www.google.com/maps/search/VLABO%20Anderlecht,,,"Vente, Location",Non,Non,Oui,Oui,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Aqui-immo,AQUIIMMO,65,B,Schaerbeek,1,Magaly Veys,,,,,,magveys@gmail.com,,magveys@gmail.com,https://www.aqui-immo.be,https://www.google.com/maps/search/Aqui-immo%20Schaerbeek,,,"Gestion locative, Syndic, Vente, Location, Commercial",Oui,Oui,Oui,Oui,Oui,,,,,,,,,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
Dewaele Real Estate Brussel bv/srl,DEWAELE REAL ESTATE BRUSSEL,65,B,Elsene,2,Tom Mestdagh | Danielle Kaluza,,,,,+3223444422 | +3222232323,tom.mestdagh@dewaele.com,+3222232323,tom.mestdagh@dewaele.com,https://www.dewaele.com,https://www.google.com/maps/search/Dewaele%20Real%20Estate%20Brussel%20bv%2Fsrl%20Elsene,,,"Gestion locative, Syndic, Vente, Location",Oui,Oui,Oui,Oui,Non,,,,,,,,,,Comment gerez-vous le volume de demandes de vos coproprietaires ?
